plant_key,period,period_as_date,market,reference_market,part_of_world,market_code,company_code,factory,warranty_category,service_type,pnc_sku,sell_out_date,failure_date,ttfi,qty_serv,product_line,product_group,product_subgroup,order_nr,warranty_key,product_unit_key
HUC,202303,2023-03-01,Germany,Reference Markets Only,Europe,GER,DGQ,Electrolux Plants,First year warranty,Service call,933033735,2022-08-15,2023-03-15,7,1,Food Preservation,Built-in Food Preservation,Built-in Under Counter Freezer,000DM3649624001,G,HUC-933033735-231-30060
ZS,202303,2023-03-01,Netherlands,Reference Markets Only,Europe,HOL,HOL,Electrolux Plants,First year warranty,Service call,925503171,2023-01-06,2023-03-13,2,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000408267948000,G,ZS-925503171-304-00043
HUC,202303,2023-03-01,Netherlands,Reference Markets Only,Europe,HOL,HOL,Electrolux Plants,First year warranty,Service call,933033241,2023-02-22,2023-03-21,1,1,Food Preservation,Built-in Food Preservation,Built-in Upright Refrigerator,000408271231000,G,HUC-933033241-214-40013
ZS,202303,2023-03-01,Italy,Reference Markets Only,Europe,ITA,IT1,Electrolux Plants,First year warranty,Service call,925505063,2022-07-17,2023-02-27,7,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000007948336000,G,ZS-925505063-151-00382
ZS,202303,2023-03-01,Italy,Reference Markets Only,Europe,ITA,IT1,Electrolux Plants,First year warranty,Service call,925505074,2022-11-15,2023-03-20,4,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000008183761000,G,ZS-925505074-237-00096
ZS,202303,2023-03-01,Austria,Reference Markets Only,Europe,OSJ,OSJ,Electrolux Plants,First year warranty,Service call,925503177,2022-06-30,2023-02-22,8,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000407615761000,G,ZS-925503177-211-00135
ZS,202303,2023-03-01,Switzerland,Reference Markets Only,Europe,SCH,SCH,Electrolux Plants,First year warranty,Service call,925511042,2022-11-01,2023-02-28,3,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000406036776000,G,ZS-925511042-223-00142
ZS,202303,2023-03-01,Switzerland,Reference Markets Only,Europe,SCH,SCH,Electrolux Plants,First year warranty,Service call,923587022,2022-09-01,2023-02-27,5,1,Food Preservation,Built-in Food Preservation,Built-in Upright Refrigerator,000406035476000,G,ZS-923587022-223-00220
HUY,202303,2023-03-01,Sweden,Reference Markets Only,Europe,SWE,SR ,Electrolux Plants,First year warranty,Service call,925070231,2022-03-31,2023-03-21,12,1,Food Preservation,Freestanding Freezer,Freestanding Upright Freezer,400424730000,G,HUY-925070231-147-60059
HUY,202303,2023-03-01,Sweden,Reference Markets Only,Europe,SWE,SR ,Electrolux Plants,First year warranty,Service call,925054583,2022-12-28,2023-02-24,2,1,Food Preservation,Freestanding Bottom Freezer,Small Bottom Freezer,409975377000,G,HUY-925054583-246-50045
HUY,202303,2023-03-01,Sweden,Reference Markets Only,Europe,SWE,SR ,Electrolux Plants,First year warranty,Service call,925070444,2022-10-10,2023-03-06,5,1,Food Preservation,Freestanding Refrigerator,Freestanding Upright Refrigerator,400418842000,G,HUY-925070444-236-30061
